category_id,hpp,idx,label,pd_descr,pd_id,pd_price,rank
1,chart_sub1,0,筆記型電腦,Acer One S1003-1641 10吋四核心變形觸控筆電,7140458,5990,1
1,chart_sub1,0,筆記型電腦,acer ES1-732-P15K 17吋筆電(N4200/1T/6G/黑,7326136,14888,2
1,chart_sub1,0,筆記型電腦,ASUS X541NA 15吋四核筆電(N4200/500G/4G/DVD/黑,7107960,13900,3
1,chart_sub1,0,筆記型電腦,Acer A114-31-C7F0 14吋筆電(N3450/2G/64G,7389015,7990,4
1,chart_sub1,0,筆記型電腦,acer ES1-132-C30B 11.6吋筆電(N3350/2G/32G/O365/黑,7141331,6990,5
2,chart_sub2,1,攝影機 / 空拍機 / 配件,【CHICHIAU】2合1 紅外激光反偷拍偵測器/有線無線兩用鏡頭發現器/反偵蒐,5038503,1190,1
2,chart_sub2,1,攝影機 / 空拍機 / 配件,【CHICHIAU】Full HD 1080P 長效行動電源造型微型攝影機,5038504,3280,2
2,chart_sub2,1,攝影機 / 空拍機 / 配件,GoPro 專用雙電池充電器AADBD-001 適用HERO5/HERO6/HERO,7003295,1900,3
2,chart_sub2,1,攝影機 / 空拍機 / 配件,LTP 長時間錄影可隱藏鏡頭微型攝影機,6849761,899,4
2,chart_sub2,1,攝影機 / 空拍機 / 配件,LTP 筆形旗艦升級版1080P可插卡錄影筆,7053938,699,5
4,chart_sub4,2,國民時尚女包,DF【Queenin】專利橫式隱藏型貼身防盜腰包(2入組),3569693,399,1
4,chart_sub4,2,國民時尚女包,Aimer La Rue 率性輕盈牛皮尼龍後背包(共二色),6583330,666,2
4,chart_sub4,2,國民時尚女包,【Miyo皮夾】馬卡龍雙色圓釦拉鍊短夾(橙藍),4147062,171,3
4,chart_sub4,2,國民時尚女包,1/2princess精緻尼龍布防水三口袋背包[A2674],6981160,676,4
4,chart_sub4,2,國民時尚女包,【Miyo皮夾】馬卡龍雙色圓釦拉鍊短夾(藍桃紅),4147061,171,5
5,chart_sub5,3,單人/雙人/加大寢具,(好康)Grace life 換季寢具組 最後出清均一價$766,7983018,766,1
5,chart_sub5,3,單人/雙人/加大寢具,Saint Rose 愛的華爾曼 雙人100%純天絲兩用被套床包四件組,7075189,1480,2
5,chart_sub5,3,單人/雙人/加大寢具,OLIVIA  和風光影  雙人床包被套四件組,5713405,1980,3
5,chart_sub5,3,單人/雙人/加大寢具,Ania Casa 台灣製 100%純棉 - 雙人床包被套四件組- 星月神話-藍,7037269,989,4
5,chart_sub5,3,單人/雙人/加大寢具,柔絲絨床包涼被&床包被套~任兩套$990,7780079,990,5
8,chart_sub8,4,專櫃保養 / 彩妝,KIEHLS契爾氏 亞馬遜白泥淨緻毛孔面膜 125ml,6612213,1170,1
8,chart_sub8,4,專櫃保養 / 彩妝,BEVY C. 裸紗親膚凝光粉餅11g,5804628,680,2
8,chart_sub8,4,專櫃保養 / 彩妝,BEVY C. 裸紗親膚淨白粉底液SPF50+ PA++++ 35mL,5318957,499,3
8,chart_sub8,4,專櫃保養 / 彩妝,belif 斗篷草高效水分炸彈霜 (50ml),4596387,1260,4
8,chart_sub8,4,專櫃保養 / 彩妝,【真品平輸】ESTEE LAUDER 粉持久完美持妝粉底SPF10/PA++(30ml),3868343,1369,5
9,chart_sub9,5,廚房家電,recolte 日本麗克特Quilt 格子三明治機 (RPS-1),6261944,1380,1
9,chart_sub9,5,廚房家電,NESCAFE Dolce Gusto 美式醇郁濃滑咖啡膠囊,4461384,717,2
9,chart_sub9,5,廚房家電,NESCAFE Dolce Gusto 拿鐵咖啡膠囊,4213463,717,3
9,chart_sub9,5,廚房家電,象印 微電腦4L四段保溫設定 電熱水瓶 CD-WBF40,4277994,1680,4
9,chart_sub9,5,廚房家電,綠恩家enegreen日式五合一小巧電火鍋 KHP-520T,4871416,1080,5
10,chart_sub10,6,流行女裝,La Belleza任選二件‧百搭內搭褲,1392171,399,1
10,chart_sub10,6,流行女裝,古著 任選2件 裙子X內搭褲X褲裙暢銷組 La Belleza,4313517,490,2
10,chart_sub10,6,流行女裝,La Belleza任選二件‧秋冬必備百搭內搭褲,1727836,399,3
10,chart_sub10,6,流行女裝,古著La Belleza 任選2件 外套X上衣X褲子暢銷組,4089264,999,4
10,chart_sub10,6,流行女裝,La Belleza任選三件．秋冬內搭單品,1264651,399,5
12,chart_sub12,7,飾品,JINCHEN 白鋼花朵手環,6937252,1800,1
12,chart_sub12,7,飾品,JINCHEN 白鋼小圓珠手環,6805939,1300,2
12,chart_sub12,7,飾品,JINCHEN 白鋼羅馬手鍊,6805935,1200,3
12,chart_sub12,7,飾品,JINCHEN 白鋼奇妙珠珠手鍊,6805940,1100,4
12,chart_sub12,7,飾品,JINCHEN 白鋼小木馬手環,6801081,1200,5
19,chart_sub19,8,時尚流行女鞋,Mori girl 輕甜女孩，花紗寶石墜飾高跟鞋＊杏,4317650,699,1
19,chart_sub19,8,時尚流行女鞋,【Mori girl】夢幻公主．寶石緞帶蝴蝶結高跟鞋＊杏,3364387,699,2
19,chart_sub19,8,時尚流行女鞋,Y.A.S 美鞋神器 奈米防潑水抗污噴霧,7080234,435,3
19,chart_sub19,8,時尚流行女鞋,G.Ms. 織帶鉚釘心機內增高中筒雨靴-黑色,5950646,1280,4
19,chart_sub19,8,時尚流行女鞋,【G.Ms.】經典山茶花‧柔軟彎折厚底坡跟牛皮娃娃鞋‧使壞黑,3066704,1380,5
22,chart_sub22,9,LCD液晶螢幕,ASUS VS197DE 19型 高動態對比電腦螢幕,4686964,1988,1
22,chart_sub22,9,LCD液晶螢幕,acer KA220HQ 22型 護眼電腦螢幕,6012055,2488,2
22,chart_sub22,9,LCD液晶螢幕,BenQ GL2250 22型 護眼高對比電腦螢幕,4945402,2688,3
22,chart_sub22,9,LCD液晶螢幕,Acer KA241Y 24型 VA 薄邊框電腦螢幕,7384867,3688,4
22,chart_sub22,9,LCD液晶螢幕,ASUS VX207DE 20型 護眼電腦螢幕,5819895,2288,5
23,chart_sub23,0,沙發,四季良品 甜蜜戀人沙發床-加大型,2228859,3899,1
23,chart_sub23,0,沙發,BuyJM 日式專利無段式 無重力人體工學休閒躺椅/涼椅,4243215,1680,2
23,chart_sub23,0,沙發,Home Feeling 頭靠舒壓款多功能和室椅/沙發床(3色可選),6174624,1029,3
23,chart_sub23,0,沙發,Conalife 二代 頭等艙級160度助睡無段式涼爽躺椅(方格紋),6626014,1180,4
23,chart_sub23,0,沙發,Home Feeling 輕日系和室椅-4段式可調(4色可選),6172226,606,5
24,chart_sub24,1,外接硬碟 / NAS,Seagate 2TB New Backup Plus行動硬碟,5035229,2488,1
24,chart_sub24,1,外接硬碟 / NAS,SP廣穎 A30 1TB USB3.0 2.5吋防震軍規行動硬碟,4944594,1699,2
24,chart_sub24,1,外接硬碟 / NAS,Seagate ExpansionDesktop 4TB 3.5吋新黑鑽外接硬碟,6101642,3288,3
24,chart_sub24,1,外接硬碟 / NAS,創見 StoreJet A3 2TB USB3.1 行動硬碟,6136933,2599,4
24,chart_sub24,1,外接硬碟 / NAS,SP廣穎 Diamond D06 格紋時尚1TB 2.5吋行動硬碟,5717479,1619,5
26,chart_sub26,2,DIY桌上型電腦,華碩平台【武烈戰士II】intel 四核效能電腦,6356121,4999,1
26,chart_sub26,2,DIY桌上型電腦,ASRock 華擎 Deskmini 110/COM 迷你準系統,6846432,3990,2
26,chart_sub26,2,DIY桌上型電腦,華碩平台[神武聖靈]四核效能電腦,6798357,4999,3
26,chart_sub26,2,DIY桌上型電腦,ASRock 華擎 Deskmini 310/COM 迷你準系統,7781976,4590,4
26,chart_sub26,2,DIY桌上型電腦,微星 PLAYER【十年寒窗】Intel i5-7400 四核心超值高效能電腦,7293931,13999,5
27,chart_sub27,3,電腦DIY零組件,華碩 SDRW-08D2S-U 外接式超薄DVD燒錄器(黑),3682614,790,1
27,chart_sub27,3,電腦DIY零組件,創見-8倍速超輕薄外接式DVD燒錄機,5804720,777,2
27,chart_sub27,3,電腦DIY零組件,ASUS華碩SDRW-08D2S-U 外接式超薄DVD燒錄機,6269110,749,3
27,chart_sub27,3,電腦DIY零組件,Kingston 金士頓 DDR3- 1600 8GB  桌上型記憶體(KVR16N11/8),5686413,1899,4
27,chart_sub27,3,電腦DIY零組件,USB 2.0 DVD-ROM Combo 外接式光碟機,5702884,490,5
28,chart_sub28,4,電玩 / 遊戲,MyCard 30點虛擬點數卡,7435539,30,1
28,chart_sub28,4,電玩 / 遊戲,MyCard 50點虛擬點數卡,7435532,50,2
28,chart_sub28,4,電玩 / 遊戲,MyCard 150點虛擬點數卡,7435531,150,3
28,chart_sub28,4,電玩 / 遊戲,MyCard LINE指定卡60元,4635550,60,4
28,chart_sub28,4,電玩 / 遊戲,虛擬商品 PlayStation®Plus會員 (12個月會籍) 台灣公司貨(不適用鑑賞期),4256006,1088,5
30,chart_sub30,5,歐系精品包 / 配件,【萬寶龍】小牛皮系列 厚型名片夾,164543,5150,1
30,chart_sub30,5,歐系精品包 / 配件,LONGCHAMP 摺疊短把水餃手提包(小-深寶藍),2311112,2899,2
30,chart_sub30,5,歐系精品包 / 配件,LONGCHAMP 尼龍短把手提/斜背兩用水餃包(中/深藍),5350230,4800,3
30,chart_sub30,5,歐系精品包 / 配件,LONGCHAMP Le Pliage 摺疊短把小型水餃包(多色)任選$2280,7341843,2280,4
30,chart_sub30,5,歐系精品包 / 配件,萬寶龍豪華型名片夾,3038253,5054,5
31,chart_sub31,6,男裝,DITION  回購率最高美式休閒棉褲 任選2件,2436725,839,1
31,chart_sub31,6,男裝,可樂思 圖案T恤任選三件788,2701785,788,2
